Song Name,Year,Artist,Genre,Rating,Mood,Play Count,Album,Duration,Language,Tempo,Energy,Danceability,Valence,Acousticness,Speechiness
Fire with Heart,2000,Imagine Dragons,Rock,3.95,Calm,32,Dragons Sessions Vol. 2,129,English,129.9,0.783,0.697,0.508,0.333,0.051
Love of Light,2005,Red Hot Chili Peppers,Rock,4.07,Energetic,18,Peppers Sessions Vol. 1,205,English,101.4,0.81,0.576,0.454,0.153,0.043
BLACKPINK's Echoes to Stars,1998,BLACKPINK,K-Pop,4.05,Happy,12,BLACKPINK Sessions Vol. 2,185,Korean,87.9,0.923,0.747,0.83,0.253,0.101
Fire in Hold,1993,J. Cole,Hip-Hop,4.31,Melancholic,53,Cole Sessions Vol. 3,131,English,113.5,0.748,0.594,0.588,0.182,0.128
Run and Paradise (Rock),2018,Foo Fighters,Rock,4.64,Romantic,53,Fighters Sessions Vol. 1,233,English,99.8,0.61,0.716,0.391,0.085,0.006
Light with Dreams (Rock),2013,Red Hot Chili Peppers,Rock,4.68,Melancholic,123,Peppers Sessions Vol. 5,193,English,135.1,0.775,0.506,0.518,0.0,0.104
Dance the Echoes,2003,Tame Impala,Indie,3.74,Calm,14,Impala Sessions Vol. 1,344,English,111.9,0.297,0.639,0.633,0.434,0.103
Stars with Rush,2018,Max Richter,Classical,3.8,Sad,13,Richter Sessions Vol. 6,150,Instrumental,79.3,0.108,0.304,0.254,0.945,0.02
Echoes and Stars,2017,Kanye West,Hip-Hop,4.07,Happy,51,West Sessions Vol. 2,238,English,104.2,0.789,0.647,0.724,0.151,0.26
Home for Night,2013,BLACKPINK,K-Pop,4.12,Chill,32,BLACKPINK Sessions Vol. 1,246,Korean,90.3,0.569,0.689,0.483,0.004,0.227
Waves and Glow,2006,Coldplay,Rock,4.16,Calm,75,Coldplay Sessions Vol. 6,192,English,157.7,0.821,0.639,0.545,0.141,0.0
River and Glow,2006,Arctic Monkeys,Indie,3.8,Romantic,87,Monkeys Sessions Vol. 6,216,English,83.6,0.601,0.837,0.363,0.843,0.0
Hold of Storm (Hip-Hop),1995,Kanye West,Hip-Hop,4.42,Happy,7,West Sessions Vol. 1,241,English,109.1,0.917,0.612,0.716,0.108,0.201
Echoes to Stars,2007,Norah Jones,Jazz,4.44,Chill,55,Jones Sessions Vol. 5,234,English,84.8,0.557,0.523,0.424,0.492,0.042
Forever of Alone,1991,Olivia Rodrigo,Pop,4.28,Romantic,12,Rodrigo Sessions Vol. 6,250,English,97.4,0.802,0.975,0.556,0.259,0.049
Alone for Moon,2014,Phoebe Bridgers,Indie,4.29,Sad,6,Bridgers Sessions Vol. 6,281,English,92.3,0.672,0.657,0.654,0.393,0.133
Forever and Love (Classical),2009,Hans Zimmer,Classical,3.83,Sad,8,Zimmer Sessions Vol. 5,263,Instrumental,92.6,0.383,0.273,0.147,0.852,0.005
Glow to Dreams (Indie),1997,Arctic Monkeys,Indie,4.8,Chill,37,Monkeys Sessions Vol. 2,212,English,121.6,0.645,0.967,0.557,0.186,0.116
Sun and Paradise (Rock),2024,Red Hot Chili Peppers,Rock,4.3,Happy,40,Peppers Sessions Vol. 2,209,English,174.7,0.811,0.389,0.726,0.146,0.021
Alone and Sun,2021,Sonu Nigam,Bollywood,3.98,Calm,51,Nigam Sessions Vol. 6,190,Hindi,109.8,0.741,0.467,0.581,0.35,0.072
Home of Forever (K-Pop),2021,SEVENTEEN,K-Pop,4.89,Romantic,9,SEVENTEEN Sessions Vol. 2,164,Korean,113.2,0.513,0.771,0.708,0.258,0.036
Gravity with Night,2015,Shreya Ghoshal,Bollywood,4.35,Energetic,28,Ghoshal Sessions Vol. 1,228,Hindi,99.6,0.782,0.646,0.296,0.363,0.041
Sun and Light,2005,Ludovico Einaudi,Classical,4.0,Calm,145,Einaudi Sessions Vol. 3,212,Instrumental,80.3,0.337,0.344,0.528,0.9,0.047
Light of Heart,1997,Sonu Nigam,Bollywood,3.84,Motivational,43,Nigam Sessions Vol. 4,227,Hindi,104.9,0.513,0.645,0.262,0.238,0.094
Moon with Heart (Jazz),2005,Kamasi Washington,Jazz,4.42,Chill,62,Washington Sessions Vol. 6,210,Instrumental,84.0,0.476,0.455,0.564,0.502,0.114
Echoes in Feel (Rock),2023,Coldplay,Rock,4.04,Calm,17,Coldplay Sessions Vol. 5,197,English,107.4,0.747,0.35,0.49,0.057,0.126
Paradise for Love,2011,Linkin Park,Rock,4.59,Happy,8,Park Sessions Vol. 6,227,English,125.4,1.0,0.482,0.591,0.381,0.013
Waves in Storm,1994,David Guetta,Electronic,4.04,Romantic,37,Guetta Sessions Vol. 4,152,English,123.9,0.496,0.678,0.894,0.037,0.013
Rush for Horizon,2009,Norah Jones,Jazz,4.84,Chill,11,Jones Sessions Vol. 3,134,English,142.8,0.46,0.567,0.617,0.832,0.06
Light of River,1997,SEVENTEEN,K-Pop,4.98,Calm,8,SEVENTEEN Sessions Vol. 3,218,Korean,141.7,0.803,0.759,0.592,0.266,0.075
Waves to Rush,2025,Ludovico Einaudi,Classical,4.16,Melancholic,2,Einaudi Sessions Vol. 5,227,Instrumental,65.1,0.168,0.395,0.317,0.898,0.031
Roads of Sun,2012,BTS,K-Pop,4.98,Happy,14,BTS Sessions Vol. 1,148,Korean,130.8,0.981,0.953,0.769,0.108,0.099
Dreams and Sun,2008,Shreya Ghoshal,Bollywood,4.13,Happy,24,Ghoshal Sessions Vol. 5,222,Hindi,108.9,0.689,0.701,0.791,0.44,0.049
Stars and Fire,2012,Arctic Monkeys,Indie,4.03,Romantic,28,Monkeys Sessions Vol. 2,241,English,113.9,0.427,0.851,0.708,0.249,0.019
Roads to Heart (Classical),2002,Ludovico Einaudi,Classical,3.52,Melancholic,4,Einaudi Sessions Vol. 4,189,Instrumental,83.9,0.418,0.289,0.361,0.925,0.021
Again the Sky,2025,Arctic Monkeys,Indie,3.84,Sad,17,Monkeys Sessions Vol. 2,243,English,106.2,0.709,0.628,0.534,0.387,0.103
Memories to Alone,2002,Phoebe Bridgers,Indie,3.24,Energetic,51,Bridgers Sessions Vol. 6,267,English,109.7,0.771,0.703,0.32,0.418,0.079
Run to Fire,2014,Travis Scott,Hip-Hop,4.03,Energetic,34,Scott Sessions Vol. 1,120,English,102.7,0.817,0.773,0.451,0.0,0.326
